Tar (ND_Strategy 1.0)	Test	All: Net Profit	All: Gross Profit	All: Gross Loss	All: Total Trades	All: % Profitable	All: Winning Trades	All: Losing Trades	All: Max Winning Trade	All: Max Losing Trade	All: Avg Winning Trade	All: Avg Losing Trade	All: Win/Loss Ratio	All: Avg Trade	All: Max Consecutive Winners	All: Max Consecutive Losers	All: Avg Bars in Winner	All: Avg Bars in Loser	All: Max Intraday Drawdown	All: ProfitFactor	All: Max Contracts Held	All: Required Account Size	All: Return on Account
2400.00	22	112750.2405951	416277.7825897	-303527.5419946	815	28.7116564	234	580	2696.1142570	-762.3994406	1778.9648829	-523.3233483	3.3993608	138.3438535	5	17	504	156	-14829.7379240	1.3714663	1	14829.7379240	760.2982681
2500.00	23	111860.6222126	409304.5731759	-297443.9509633	796	28.8944724	230	565	2991.7367116	-762.3994406	1779.5851008	-526.4494707	3.3803531	140.5284199	5	17	528	154	-14642.8533345	1.3760729	1	14642.8533345	763.9263992
2600.00	24	104450.1434283	407820.8361297	-303370.6927015	798	27.8195489	222	575	2991.7367116	-1081.5761119	1837.0307934	-527.6012047	3.4818548	130.8899040	5	17	542	152	-14458.8565156	1.3442987	1	14458.8565156	722.3956010
2700.00	25	103532.9711743	405079.5280314	-301546.5568570	789	27.3764259	216	572	3021.2494545	-1081.5761119	1875.3681853	-527.1792952	3.5573631	131.2204958	5	17	569	153	-14272.7546748	1.3433399	1	14272.7546748	725.3888512
2800.00	26	102713.4986380	401917.1161366	-299203.6174987	781	27.0166453	211	569	3133.1475824	-1081.5761119	1904.8204556	-525.8411555	3.6224256	131.5153632	5	17	588	155	-14087.0074257	1.3432896	1	14087.0074257	729.1363988
2900.00	27	109397.1655262	403485.4888164	-294088.3232902	770	27.2727273	210	559	3246.6443349	-1081.5761119	1921.3594706	-526.0971794	3.6520999	142.0742409	5	16	621	154	-13902.3069181	1.3719875	1	13902.3069181	786.8993698
3000.00	28	102798.8966801	396738.3622282	-293939.4655481	767	26.7275098	205	561	3361.6460860	-1081.5761119	1935.3090840	-523.9562666	3.6936462	134.0272447	4	16	637	157	-13713.9970884	1.3497281	1	13713.9970884	749.5910639
3100.00	29	111373.1649954	403931.7938564	-292558.6288610	764	26.9633508	206	557	3475.9208467	-1081.5761119	1960.8339508	-525.2399082	3.7332159	145.7763940	4	16	645	156	-13529.5931417	1.3806867	1	13529.5931417	823.1819230
3200.00	30	122251.5378221	415487.4964753	-293235.9586531	764	26.9633508	206	557	3592.1153426	-1081.5761119	2016.9295945	-526.4559401	3.8311460	160.0151019	4	16	654	153	-13336.1560181	1.4169050	1	13336.1560181	916.6924686
3300.00	31	111880.6911557	404466.1782629	-292585.4871073	758	26.5171504	201	555	3711.3264296	-1081.5761119	2012.2695436	-527.1810579	3.8170369	147.5998564	4	18	686	155	-13707.4794043	1.3823863	1	13707.4794043	816.2017819
3400.00	32	120549.1657428	412075.2599507	-291526.0942079	755	26.6225166	201	553	3818.6798245	-1081.5761119	2050.1256714	-527.1719606	3.8889126	159.6677692	4	18	702	154	-14072.9102194	1.4135107	1	14072.9102194	856.6043829
3500.00	33	126817.8135810	408725.2540878	-281907.4405069	736	27.0380435	199	536	3935.1486601	-1081.5761119	2053.8957492	-525.9467174	3.9051404	172.3068119	4	18	731	158	-13884.8999962	1.4498562	1	13884.8999962	913.3505723
